Recipe,Type,Time (min),Rating,Num Ratings,Tags,Ingredient Amount,Ingredient,Method
BBQ Chicken Pizza,Refuel Meal,35,4.7,153,High protein; Family friendly,85g,self-raising flour,"Step 1: Preheat the oven to 220C. Combine the flour, baking powder and salt in a bowl and make a well in the middle. Add in the yoghurt and stir with a fork to combine until the mixture forms a rough dough. Turn out onto a lightly floured work surface and knead to form a smooth ball. Roll out into a thin round; the dough will bounce back slightly so roll it thinner than you think you'll need. Step 2: Heat a large, dry frying pan over a medium to high heat. Cook the pizza base for 2 minutes on each side until golden. Lay the base on a baking tray and spread with the passata. Toss the barbeque sauce and chicken together then arrange over the top of the pizza. Scatter the mozzarella, onion and sweetcorn over the pizza then bake for 8-10 minutes until the cheese is golden and bubbling. Scatter over the basil and serve."
BBQ Chicken Pizza,,,,,,1/4 tsp,baking powder,
BBQ Chicken Pizza,,,,,,1 pinch,salt,
BBQ Chicken Pizza,,,,,,85g,"fat-free yoghurt, greek or natural",
BBQ Chicken Pizza,,,,,,50g,passata,
BBQ Chicken Pizza,,,,,,30g,barbecue sauce,
BBQ Chicken Pizza,,,,,,150g,"cooked skinless chicken breast, diced",
BBQ Chicken Pizza,,,,,,60g,"mozzarella, grated",
BBQ Chicken Pizza,,,,,,1/2,"small red onion, peeled and finely sliced",
BBQ Chicken Pizza,,,,,,75g,"tinned sweetcorn, drained",
BBQ Chicken Pizza,,,,,,1,"small bunch basil, leaves torn",
BLT Pesto Orzo Bowl,Refuel Meal,15,4.6,84,Good on the go; Quick,75g,"lean bacon medallions, chopped","Step 1: Cook the bacon in a frying pan over a medium to high heat for 4-5 minutes or until crispy. Then remove from the pan and set to one side. Step 2: Add the orzo to the same pan and pour over the stock. Simmer on a low heat for 8 or so minutes, until al dente and the stock has been absorbed. Keep an eye on the pan as you may need to add a splash more stock. Step 3: Take the pan off the heat. Stir through the tomatoes, spinach, pesto and mozzarella. Squeeze over the lemon juice and stir the bacon through. Season to taste."
BLT Pesto Orzo Bowl,,,,,,115g,dried orzo pasta,
BLT Pesto Orzo Bowl,,,,,,390ml,vegetable stock,
BLT Pesto Orzo Bowl,,,,,,75g,"cherry tomatoes, halved",
BLT Pesto Orzo Bowl,,,,,,20g,baby spinach,
BLT Pesto Orzo Bowl,,,,,,30g,light pesto,
BLT Pesto Orzo Bowl,,,,,,45g,mozzarella pearls,
BLT Pesto Orzo Bowl,,,,,,1,"lemon, juice",
BLT Pesto Orzo Bowl,,,,,,,salt and pepper,
Banana and Cinnamon Pancakes,Refuel Meal,10,4.3,125,Family friendly; Breakfast,195g,fat-free quark,"Step 1: Put the quark, eggs, flour and pinch of salt into a liquidiser and blend until smooth. Step 2: Heat a non-stick frying pan over a medium-high heat and add the oil. Pour in enough batter to coat the base of the pan then cook for a minute on each side until golden. Repeat with the remaining batter. Step 3: Fold or stack the pancakes and serve with the banana, maple syrup and sprinkle of cinnamon."
Banana and Cinnamon Pancakes,,,,,,3,large eggs,
Banana and Cinnamon Pancakes,,,,,,30g,plain flour,
